tbg_player_id,transfermarkt_id,display_name,full_name,short_name,aliases,nickname,age,status,nationality,position,position_group,current_club,current_competition_code,market_value_eur,tbg_rating,underlying_ability_rating,effective_match_rating,current_state_total_modifier,smw_equivalent_rating,rating_band,assignment_status,tbg_club_name,profile_url
tbg-tm-01193844,1193844,Adri Mehmeti,Adri Mehmeti,A. Mehmeti,A. Mehmeti,,17,active,United States; Albania,Central Midfield,MID,Red Bull New York,MLS1,6000000,83,83,83,0,83,development,unsigned,,https://www.transfermarkt.com/adri-mehmeti/profil/spieler/1193844
tbg-tm-01073625,1073625,Aleksa Damjanovic,Алекса Дамјановић,A. Damjanovic,A. Damjanovic,,17,active,Serbia; Austria,Centre-Forward,ATT,Bayer 04 Leverkusen,L1,5000000,83,83,83,0,83,development,unsigned,,https://www.transfermarkt.com/aleksa-damjanovic/profil/spieler/1073625
tbg-tm-01263687,1263687,Moncef Zekri,منصف زيكري,M. Zekri,M. Zekri,,17,active,Morocco; Belgium,Left-Back,DEF,KV Mechelen,BE1,4000000,83,83,83,0,83,development,unsigned,,https://www.transfermarkt.com/moncef-zekri/profil/spieler/1263687
tbg-tm-01228317,1228317,Stephan Zagadou,Stephan Zagadou,S. Zagadou,S. Zagadou,,17,active,France; Cote d'Ivoire,Centre-Back,DEF,Le Havre AC,FR1,4000000,83,83,83,0,83,development,unsigned,,https://www.transfermarkt.com/stephan-zagadou/profil/spieler/1228317
tbg-tm-01453066,1453066,Carlos Macià,Carlos Macià Coves,C. Macià,C. Macià,,17,active,Spain,Central Midfield,MID,Villarreal CF,ES1,3000000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/carlos-macia/profil/spieler/1453066
tbg-tm-01264666,1264666,Xander Dierckx,Xander Dierckx,X. Dierckx,X. Dierckx,,17,active,Belgium,Central Midfield,MID,Royal Antwerp FC,BE1,3000000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/xander-dierckx/profil/spieler/1264666
tbg-tm-01193794,1193794,Saba Kharebashvili,საბა ხარებაშვილი,S. Kharebashvili,S. Kharebashvili,,17,active,Georgia,Left-Back,DEF,Basaksehir FK,TR1,2500000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/saba-kharebashvili/profil/spieler/1193794
tbg-tm-01184726,1184726,August De Wannemacker,August Jan De Wannemacker,A. De Wannemacker,A. De Wannemacker,,17,active,Belgium,Central Midfield,MID,KRC Genk,BE1,2000000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/august-de-wannemacker/profil/spieler/1184726
tbg-tm-01194905,1194905,Abdellah Ouazane,عبد الله وزان,A. Ouazane,A. Ouazane,,17,active,Morocco; Netherlands,Attacking Midfield,MID,Ajax Amsterdam,NL1,1500000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/abdellah-ouazane/profil/spieler/1194905
tbg-tm-01210116,1210116,Abdoulaye Camara,Abdoulaye Camara,A. Camara,A. Camara,,17,active,France; Guinea,Defensive Midfield,DEF,Udinese Calcio,IT1,1500000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/abdoulaye-camara/profil/spieler/1210116
tbg-tm-01232103,1232103,Joshua Nga Kana,Joshua-Williame Nga Kana,J. Nga Kana,J. Nga Kana,,17,active,Belgium,Right Winger,ATT,RSC Anderlecht,BE1,1200000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/joshua-nga-kana/profil/spieler/1232103
tbg-tm-01208968,1208968,Djibril Coulibaly,Djibril Coulibaly,D. Coulibaly,D. Coulibaly,,17,active,France; Mali,Central Midfield,MID,OGC Nice,FR1,1000000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/djibril-coulibaly/profil/spieler/1208968
tbg-tm-01232106,1232106,Jayden Onia Seke,Jayden Onia Seke,J. Onia Seke,J. Onia Seke,,17,active,Belgium,Right Winger,ATT,RSC Anderlecht,BE1,1000000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/jayden-onia-seke/profil/spieler/1232106
tbg-tm-01380977,1380977,Samba Konaté,Samba Konaté,S. Konaté,S. Konaté,,17,active,France; Senegal,Centre-Forward,ATT,RB Leipzig U19,19D3,1000000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/samba-konate/profil/spieler/1380977
tbg-tm-01297520,1297520,Ertugrul Yigit,Ertugrul Yigit,E. Yigit,E. Yigit,,17,active,Germany; Türkiye,Central Midfield,MID,VfB Stuttgart,L1,750000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/ertugrul-yigit/profil/spieler/1297520
tbg-tm-01334900,1334900,Gianluca Okon-Engstler,Gianluca Tommaso	Okon-Engstler,G. Okon-Engstler,G. Okon-Engstler,,17,active,Italy; Australia,Defensive Midfield,DEF,Club Brugge KV,BE1,400000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/gianluca-okon-engstler/profil/spieler/1334900
tbg-tm-01334905,1334905,Akol Akon,Akol Akon,Akol Akon,Akol Akon,,17,active,Australia; Southern Sudan,Right Winger,ATT,Sydney FC,AUS1,350000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/akol-akon/profil/spieler/1334905
tbg-tm-01315993,1315993,Malik Jakupović,Malik Jakupović,M. Jakupović,M. Jakupović,,17,active,United States; Bosnia-Herzegovina,Centre-Forward,ATT,Philadelphia Union,MLS1,300000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/malik-jakupovic/profil/spieler/1315993
tbg-tm-01371830,1371830,Nacho Pérez,Nacho Pérez Gómez,Nacho Pérez,Nacho Pérez,,17,active,Spain,Right-Back,DEF,Levante UD,ES1,300000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/nacho-perez/profil/spieler/1371830
tbg-tm-01223297,1223297,Bilal Demirağ,Bilal Demirağ,B. Demirağ,B. Demirağ,,17,active,Türkiye,Centre-Back,DEF,Alanyaspor,TR1,250000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/bilal-demirag/profil/spieler/1223297
tbg-tm-01311594,1311594,Enzo dos Santos,Enzo de Pina Duarte dos Santos,E. dos Santos,E. dos Santos,,17,active,Luxembourg; Cape Verde,Central Midfield,MID,Borussia Dortmund,L1,250000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/enzo-dos-santos/profil/spieler/1311594
tbg-tm-01056807,1056807,Gustavo Caraballo,Gustavo Andres Caraballo Delgado,G. Caraballo,G. Caraballo,,17,active,Venezuela,Right Winger,ATT,Orlando City SC,MLS1,250000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/gustavo-caraballo/profil/spieler/1056807
tbg-tm-01231931,1231931,Mattis Seghers,Mattis Seghers,M. Seghers,M. Seghers,,17,active,Belgium,Goalkeeper,GK,RSC Anderlecht,BE1,200000,82,82,82,0,82,development,unsigned,,https://www.transfermarkt.com/mattis-seghers/profil/spieler/1231931
tbg-tm-01141179,1141179,Mussa Kaba,Mussa Kaba,Mussa Kaba,Mussa Kaba,,17,active,Germany; Guinea,Defensive Midfield,DEF,Borussia Dortmund,L1,200000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/mussa-kaba/profil/spieler/1141179
tbg-tm-01231353,1231353,Bas Evers,Bas Evers,Bas Evers,Bas Evers,,17,active,Belgium,Goalkeeper,GK,KAA Gent,BE1,100000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/bas-evers/profil/spieler/1231353
tbg-tm-01186346,1186346,Ademar Chávez,Alfredo Ademar Chávez López,A. Chávez,A. Chávez,,17,active,Mexico; United States,Attacking Midfield,MID,FC Cincinnati,MLS1,50000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/ademar-chavez/profil/spieler/1186346
tbg-tm-01223318,1223318,Ata Yanık,Ata Yanık,Ata Yanık,Ata Yanık,,17,active,Türkiye,Centre-Back,DEF,Konyaspor,TR1,50000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/ata-yanik/profil/spieler/1223318
tbg-tm-01474871,1474871,Muhammet Akmelek,Muhammet Akmelek,M. Akmelek,M. Akmelek,,17,active,Türkiye,Centre-Forward,ATT,Gaziantep FK,TR1,50000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/muhammet-akmelek/profil/spieler/1474871
tbg-tm-01475138,1475138,Yahya Iguiz,يحيى إيغيز,Yahya Iguiz,Yahya Iguiz,,17,active,Morocco,Centre-Forward,ATT,Raja Club Athletic,MAR1,10000,81,81,81,0,81,development,unsigned,,https://www.transfermarkt.com/yahya-iguiz/profil/spieler/1475138
tbg-tm-01489441,1489441,Ahmed Safwat El Geziry,أحمد صفوت,Ahmed Safwat,Ahmed Safwat,Ahmed Safwat,17,active,Egypt,Attacking Midfield,MID,Zamalek SC,EGY1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/ahmed-safwat/profil/spieler/1489441
tbg-tm-01328020,1328020,Angelo Henrique Candido de Siqueria,Angelo Candido,Angelo Candido,Angelo Candido,Angelo Candido,17,active,Brazil,Right-Back,DEF,São Paulo FC U20,,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/angelo-candido/profil/spieler/1328020
tbg-tm-01233867,1233867,Anthony Motosuna,元砂 晏翔仁 ウデンバ  Anthony Udemba Motosuna,A. Motosuna,A. Motosuna,,17,active,Japan,Centre-Back,DEF,Kashima Antlers,JAP1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/anthony-motosuna/profil/spieler/1233867
tbg-tm-01164972,1164972,Josh Nteziryayo,Josh-Duc Nteziryayo,J. Nteziryayo,J. Nteziryayo,,17,active,Canada; Rwanda,Defensive Midfield,DEF,CF Montréal,MLS1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/josh-nteziryayo/profil/spieler/1164972
tbg-tm-01193846,1193846,Kaedren Spivey,Kaedren Marquette Spivey,K. Spivey,K. Spivey,,17,active,United States,Central Midfield,MID,San Jose Earthquakes,MLS1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/kaedren-spivey/profil/spieler/1193846
tbg-tm-01377310,1377310,Louie Van Gelder,Louie Van Gelder,L. Van Gelder,L. Van Gelder,,17,active,Belgium,Central Midfield,MID,Royal Antwerp FC,BE1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/louie-van-gelder/profil/spieler/1377310
tbg-tm-01297633,1297633,Martin Ponsot,Martin Ponsot,M. Ponsot,M. Ponsot,,17,active,France,Goalkeeper,GK,OGC Nice,FR1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/martin-ponsot/profil/spieler/1297633
tbg-tm-01210902,1210902,Nélio Batista,Nélio Francisco Santos Batista,N. Batista,N. Batista,,17,active,Portugal,Central Midfield,MID,CS Marítimo U23,,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/nelio-batista/profil/spieler/1210902
tbg-tm-01238722,1238722,Peter Molinari,Peter Molinari,P. Molinari,P. Molinari,,17,active,United States,Defensive Midfield,DEF,New York City FC II,MNP3,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/peter-molinari/profil/spieler/1238722
tbg-tm-01407420,1407420,Samsy Keita,Samsy Keita,Samsy Keita,Samsy Keita,,17,active,Canada; Liberia,Goalkeeper,GK,CF Montréal,MLS1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/samsy-keita/profil/spieler/1407420
tbg-tm-01164963,1164963,Stefan Kapor,Stefan Kapor,S. Kapor,S. Kapor,,17,active,Canada; Serbia,Centre-Back,DEF,Toronto FC,MLS1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/stefan-kapor/profil/spieler/1164963
tbg-tm-01265619,1265619,Takeshi Wada,和田 武士,T. Wada,T. Wada,,17,active,Japan,Defensive Midfield,DEF,,,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/takeshi-wada/profil/spieler/1265619
tbg-tm-01193840,1193840,Tobias Szewczyk,Tobias Szewczyk,T. Szewczyk,T. Szewczyk,,17,active,United States; Poland,Goalkeeper,GK,Red Bull New York,MLS1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/tobias-szewczyk/profil/spieler/1193840
tbg-tm-01329907,1329907,Vasilios Lavdas,Βασίλειος Λάβδας,V. Lavdas,V. Lavdas,,17,active,Greece,Centre-Back,DEF,Panathinaikos,GR1,0,80,80,80,0,80,development,unsigned,,https://www.transfermarkt.com/vasilios-lavdas/profil/spieler/1329907
tbg-tm-01205629,1205629,Ackah-Tidiane Zoukrou,Ackah-Tidiane Thiongane-Zoukrou,A. Zoukrou,A. Zoukrou,,17,active,France; Senegal,Left-Back,DEF,AJ Auxerre,FR1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/ackah-tidiane-zoukrou/profil/spieler/1205629
tbg-tm-01476544,1476544,Furkan Çetinkaya,Furkan Çetinkaya,F. Çetinkaya,F. Çetinkaya,,17,active,Türkiye,Attacking Midfield,MID,Corum FK,TR1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/furkan-cetinkaya/profil/spieler/1476544
tbg-tm-01417530,1417530,Hamza Aydar,Yiğit Hamza Aydar,Hamza Aydar,Hamza Aydar,,17,active,Türkiye,Left-Back,DEF,Genclerbirligi Ankara,TR1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/hamza-aydar/profil/spieler/1417530
tbg-tm-01340846,1340846,Iason Nebis,Ιάσον Νεμπής,Iason Nebis,Iason Nebis,,17,active,Greece,Centre-Forward,ATT,Panathinaikos,GR1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/iason-nebis/profil/spieler/1340846
tbg-tm-01474364,1474364,Mustafa Coşkun Tosun,Mustafa Coşkun Tosun,M. Tosun,M. Tosun,,17,active,Türkiye,Centre-Forward,ATT,Caykur Rizespor,TR1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/mustafa-coskun-tosun/profil/spieler/1474364
tbg-tm-01318685,1318685,Naël Piron,Naël Lucas Piron,Naël Piron,Naël Piron,,17,active,Belgium,Centre-Back,DEF,Royal Charleroi SC,BE1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/nael-piron/profil/spieler/1318685
tbg-tm-01293975,1293975,Noa Ojea,Noa Thomas Ojea Cobiella,Noa Ojea,Noa Ojea,,17,active,Belgium; Spain,Left Winger,ATT,RSC Anderlecht,BE1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/noa-ojea/profil/spieler/1293975
tbg-tm-01487539,1487539,Panagiotis Biniaris,Παναγιώτης Μπινιάρης,P. Biniaris,P. Biniaris,,17,active,Greece,Central Midfield,MID,Panathinaikos,GR1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/panagiotis-biniaris/profil/spieler/1487539
